"STATISTIC","Statistic","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"E2001","Population at Each Census 1841 to 2016","1841","1841","-","State","-","Both sexes","Number","6528799"
"E2001","Population at Each Census 1841 to 2016","1841","1841","-","State","1","Male","Number","3222485"
"E2001","Population at Each Census 1841 to 2016","1841","1841","-","State","2","Female","Number","3306314"
"E2001","Population at Each Census 1841 to 2016","1841","1841","01","Carlow","-","Both sexes","Number","86228"
"E2001","Population at Each Census 1841 to 2016","1841","1841","01","Carlow","1","Male","Number","42428"
"E2001","Population at Each Census 1841 to 2016","1841","1841","01","Carlow","2","Female","Number","43800"
"E2001","Population at Each Census 1841 to 2016","1841","1841","02","Dublin","-","Both sexes","Number","372773"
"E2001","Population at Each Census 1841 to 2016","1841","1841","02","Dublin","1","Male","Number","170930"
"E2001","Population at Each Census 1841 to 2016","1841","1841","02","Dublin","2","Female","Number","201843"
"E2001","Population at Each Census 1841 to 2016","1841","1841","03","Kildare","-","Both sexes","Number","114488"
"E2001","Population at Each Census 1841 to 2016","1841","1841","03","Kildare","1","Male","Number","58030"
"E2001","Population at Each Census 1841 to 2016","1841","1841","03","Kildare","2","Female","Number","56458"
"E2001","Population at Each Census 1841 to 2016","1841","1841","04","Kilkenny","-","Both sexes","Number","202420"
"E2001","Population at Each Census 1841 to 2016","1841","1841","04","Kilkenny","1","Male","Number","99114"
"E2001","Population at Each Census 1841 to 2016","1841","1841","04","Kilkenny","2","Female","Number","103306"
"E2001","Population at Each Census 1841 to 2016","1841","1841","05","Laois","-","Both sexes","Number","153930"
"E2001","Population at Each Census 1841 to 2016","1841","1841","05","Laois","1","Male","Number","76403"
"E2001","Population at Each Census 1841 to 2016","1841","1841","05","Laois","2","Female","Number","77527"
"E2001","Population at Each Census 1841 to 2016","1841","1841","06","Longford","-","Both sexes","Number","115491"
"E2001","Population at Each Census 1841 to 2016","1841","1841","06","Longford","1","Male","Number","57610"
"E2001","Population at Each Census 1841 to 2016","1841","1841","06","Longford","2","Female","Number","57881"
"E2001","Population at Each Census 1841 to 2016","1841","1841","07","Louth","-","Both sexes","Number","128240"
"E2001","Population at Each Census 1841 to 2016","1841","1841","07","Louth","1","Male","Number","62297"
"E2001","Population at Each Census 1841 to 2016","1841","1841","07","Louth","2","Female","Number","65943"
"E2001","Population at Each Census 1841 to 2016","1841","1841","08","Meath","-","Both sexes","Number","183828"
"E2001","Population at Each Census 1841 to 2016","1841","1841","08","Meath","1","Male","Number","92494"
"E2001","Population at Each Census 1841 to 2016","1841","1841","08","Meath","2","Female","Number","91334"
"E2001","Population at Each Census 1841 to 2016","1841","1841","09","Offaly","-","Both sexes","Number","146857"
"E2001","Population at Each Census 1841 to 2016","1841","1841","09","Offaly","1","Male","Number","72651"
"E2001","Population at Each Census 1841 to 2016","1841","1841","09","Offaly","2","Female","Number","74206"
"E2001","Population at Each Census 1841 to 2016","1841","1841","10","Westmeath","-","Both sexes","Number","141300"
"E2001","Population at Each Census 1841 to 2016","1841","1841","10","Westmeath","1","Male","Number","70383"
"E2001","Population at Each Census 1841 to 2016","1841","1841","10","Westmeath","2","Female","Number","70917"
"E2001","Population at Each Census 1841 to 2016","1841","1841","11","Wexford","-","Both sexes","Number","202033"
"E2001","Population at Each Census 1841 to 2016","1841","1841","11","Wexford","1","Male","Number","97918"
"E2001","Population at Each Census 1841 to 2016","1841","1841","11","Wexford","2","Female","Number","104115"
"E2001","Population at Each Census 1841 to 2016","1841","1841","12","Wicklow","-","Both sexes","Number","126143"
"E2001","Population at Each Census 1841 to 2016","1841","1841","12","Wicklow","1","Male","Number","63489"
"E2001","Population at Each Census 1841 to 2016","1841","1841","12","Wicklow","2","Female","Number","62654"
"E2001","Population at Each Census 1841 to 2016","1841","1841","13","Clare","-","Both sexes","Number","286394"
"E2001","Population at Each Census 1841 to 2016","1841","1841","13","Clare","1","Male","Number","144109"
"E2001","Population at Each Census 1841 to 2016","1841","1841","13","Clare","2","Female","Number","142285"
"E2001","Population at Each Census 1841 to 2016","1841","1841","14","Cork","-","Both sexes","Number","854118"
"E2001","Population at Each Census 1841 to 2016","1841","1841","14","Cork","1","Male","Number","420551"
"E2001","Population at Each Census 1841 to 2016","1841","1841","14","Cork","2","Female","Number","433567"
"E2001","Population at Each Census 1841 to 2016","1841","1841","15","Kerry","-","Both sexes","Number","293880"
"E2001","Population at Each Census 1841 to 2016","1841","1841","15","Kerry","1","Male","Number","147307"
"E2001","Population at Each Census 1841 to 2016","1841","1841","15","Kerry","2","Female","Number","146573"
"E2001","Population at Each Census 1841 to 2016","1841","1841","16","Limerick","-","Both sexes","Number","330029"
"E2001","Population at Each Census 1841 to 2016","1841","1841","16","Limerick","1","Male","Number","161997"
"E2001","Population at Each Census 1841 to 2016","1841","1841","16","Limerick","2","Female","Number","168032"
"E2001","Population at Each Census 1841 to 2016","1841","1841","17","Tipperary","-","Both sexes","Number","435553"
"E2001","Population at Each Census 1841 to 2016","1841","1841","17","Tipperary","1","Male","Number","216650"
"E2001","Population at Each Census 1841 to 2016","1841","1841","17","Tipperary","2","Female","Number","218903"
"E2001","Population at Each Census 1841 to 2016","1841","1841","18","Waterford","-","Both sexes","Number","196187"
"E2001","Population at Each Census 1841 to 2016","1841","1841","18","Waterford","1","Male","Number","95576"
"E2001","Population at Each Census 1841 to 2016","1841","1841","18","Waterford","2","Female","Number","100611"
"E2001","Population at Each Census 1841 to 2016","1841","1841","19","Galway","-","Both sexes","Number","440198"
"E2001","Population at Each Census 1841 to 2016","1841","1841","19","Galway","1","Male","Number","219564"
"E2001","Population at Each Census 1841 to 2016","1841","1841","19","Galway","2","Female","Number","220634"
"E2001","Population at Each Census 1841 to 2016","1841","1841","20","Leitrim","-","Both sexes","Number","155297"
"E2001","Population at Each Census 1841 to 2016","1841","1841","20","Leitrim","1","Male","Number","77501"
"E2001","Population at Each Census 1841 to 2016","1841","1841","20","Leitrim","2","Female","Number","77796"
"E2001","Population at Each Census 1841 to 2016","1841","1841","21","Mayo","-","Both sexes","Number","388887"
"E2001","Population at Each Census 1841 to 2016","1841","1841","21","Mayo","1","Male","Number","194198"
"E2001","Population at Each Census 1841 to 2016","1841","1841","21","Mayo","2","Female","Number","194689"
"E2001","Population at Each Census 1841 to 2016","1841","1841","22","Roscommon","-","Both sexes","Number","253591"
"E2001","Population at Each Census 1841 to 2016","1841","1841","22","Roscommon","1","Male","Number","127016"
"E2001","Population at Each Census 1841 to 2016","1841","1841","22","Roscommon","2","Female","Number","126575"
"E2001","Population at Each Census 1841 to 2016","1841","1841","23","Sligo","-","Both sexes","Number","180886"
"E2001","Population at Each Census 1841 to 2016","1841","1841","23","Sligo","1","Male","Number","89563"
"E2001","Population at Each Census 1841 to 2016","1841","1841","23","Sligo","2","Female","Number","91323"
"E2001","Population at Each Census 1841 to 2016","1841","1841","24","Cavan","-","Both sexes","Number","243158"
"E2001","Population at Each Census 1841 to 2016","1841","1841","24","Cavan","1","Male","Number","120814"
"E2001","Population at Each Census 1841 to 2016","1841","1841","24","Cavan","2","Female","Number","122344"
"E2001","Population at Each Census 1841 to 2016","1841","1841","25","Donegal","-","Both sexes","Number","296448"
"E2001","Population at Each Census 1841 to 2016","1841","1841","25","Donegal","1","Male","Number","145821"
"E2001","Population at Each Census 1841 to 2016","1841","1841","25","Donegal","2","Female","Number","150627"
"E2001","Population at Each Census 1841 to 2016","1841","1841","26","Monaghan","-","Both sexes","Number","200442"
"E2001","Population at Each Census 1841 to 2016","1841","1841","26","Monaghan","1","Male","Number","98071"
"E2001","Population at Each Census 1841 to 2016","1841","1841","26","Monaghan","2","Female","Number","102371"
"E2001","Population at Each Census 1841 to 2016","1851","1851","-","State","-","Both sexes","Number","5111557"
"E2001","Population at Each Census 1841 to 2016","1851","1851","-","State","1","Male","Number","2494478"
"E2001","Population at Each Census 1841 to 2016","1851","1851","-","State","2","Female","Number","2617079"
"E2001","Population at Each Census 1841 to 2016","1851","1851","01","Carlow","-","Both sexes","Number","68078"
"E2001","Population at Each Census 1841 to 2016","1851","1851","01","Carlow","1","Male","Number","33016"
"E2001","Population at Each Census 1841 to 2016","1851","1851","01","Carlow","2","Female","Number","35062"
"E2001","Population at Each Census 1841 to 2016","1851","1851","02","Dublin","-","Both sexes","Number","405147"
"E2001","Population at Each Census 1841 to 2016","1851","1851","02","Dublin","1","Male","Number","187286"
"E2001","Population at Each Census 1841 to 2016","1851","1851","02","Dublin","2","Female","Number","217861"
"E2001","Population at Each Census 1841 to 2016","1851","1851","03","Kildare","-","Both sexes","Number","95723"
"E2001","Population at Each Census 1841 to 2016","1851","1851","03","Kildare","1","Male","Number","48528"
"E2001","Population at Each Census 1841 to 2016","1851","1851","03","Kildare","2","Female","Number","47195"
"E2001","Population at Each Census 1841 to 2016","1851","1851","04","Kilkenny","-","Both sexes","Number","158748"
"E2001","Population at Each Census 1841 to 2016","1851","1851","04","Kilkenny","1","Male","Number","76493"
"E2001","Population at Each Census 1841 to 2016","1851","1851","04","Kilkenny","2","Female","Number","82255"
"E2001","Population at Each Census 1841 to 2016","1851","1851","05","Laois","-","Both sexes","Number","111664"
"E2001","Population at Each Census 1841 to 2016","1851","1851","05","Laois","1","Male","Number","55556"
"E2001","Population at Each Census 1841 to 2016","1851","1851","05","Laois","2","Female","Number","56108"
"E2001","Population at Each Census 1841 to 2016","1851","1851","06","Longford","-","Both sexes","Number","82348"
"E2001","Population at Each Census 1841 to 2016","1851","1851","06","Longford","1","Male","Number","41041"
"E2001","Population at Each Census 1841 to 2016","1851","1851","06","Longford","2","Female","Number","41307"
"E2001","Population at Each Census 1841 to 2016","1851","1851","07","Louth","-","Both sexes","Number","107662"
"E2001","Population at Each Census 1841 to 2016","1851","1851","07","Louth","1","Male","Number","52257"
"E2001","Population at Each Census 1841 to 2016","1851","1851","07","Louth","2","Female","Number","55405"
"E2001","Population at Each Census 1841 to 2016","1851","1851","08","Meath","-","Both sexes","Number","140748"
"E2001","Population at Each Census 1841 to 2016","1851","1851","08","Meath","1","Male","Number","70813"
"E2001","Population at Each Census 1841 to 2016","1851","1851","08","Meath","2","Female","Number","69935"
"E2001","Population at Each Census 1841 to 2016","1851","1851","09","Offaly","-","Both sexes","Number","112076"
"E2001","Population at Each Census 1841 to 2016","1851","1851","09","Offaly","1","Male","Number","55284"
"E2001","Population at Each Census 1841 to 2016","1851","1851","09","Offaly","2","Female","Number","56792"
"E2001","Population at Each Census 1841 to 2016","1851","1851","10","Westmeath","-","Both sexes","Number","111407"
"E2001","Population at Each Census 1841 to 2016","1851","1851","10","Westmeath","1","Male","Number","56095"
"E2001","Population at Each Census 1841 to 2016","1851","1851","10","Westmeath","2","Female","Number","55312"
"E2001","Population at Each Census 1841 to 2016","1851","1851","11","Wexford","-","Both sexes","Number","180158"
"E2001","Population at Each Census 1841 to 2016","1851","1851","11","Wexford","1","Male","Number","86938"
"E2001","Population at Each Census 1841 to 2016","1851","1851","11","Wexford","2","Female","Number","93220"
"E2001","Population at Each Census 1841 to 2016","1851","1851","12","Wicklow","-","Both sexes","Number","98979"
"E2001","Population at Each Census 1841 to 2016","1851","1851","12","Wicklow","1","Male","Number","50230"
"E2001","Population at Each Census 1841 to 2016","1851","1851","12","Wicklow","2","Female","Number","48749"
"E2001","Population at Each Census 1841 to 2016","1851","1851","13","Clare","-","Both sexes","Number","212440"
"E2001","Population at Each Census 1841 to 2016","1851","1851","13","Clare","1","Male","Number","103953"
"E2001","Population at Each Census 1841 to 2016","1851","1851","13","Clare","2","Female","Number","108487"
"E2001","Population at Each Census 1841 to 2016","1851","1851","14","Cork","-","Both sexes","Number","649308"
"E2001","Population at Each Census 1841 to 2016","1851","1851","14","Cork","1","Male","Number","318149"
"E2001","Population at Each Census 1841 to 2016","1851","1851","14","Cork","2","Female","Number","331159"
"E2001","Population at Each Census 1841 to 2016","1851","1851","15","Kerry","-","Both sexes","Number","238254"
"E2001","Population at Each Census 1841 to 2016","1851","1851","15","Kerry","1","Male","Number","116511"
"E2001","Population at Each Census 1841 to 2016","1851","1851","15","Kerry","2","Female","Number","121743"
"E2001","Population at Each Census 1841 to 2016","1851","1851","16","Limerick","-","Both sexes","Number","262132"
"E2001","Population at Each Census 1841 to 2016","1851","1851","16","Limerick","1","Male","Number","127387"
"E2001","Population at Each Census 1841 to 2016","1851","1851","16","Limerick","2","Female","Number","134745"
"E2001","Population at Each Census 1841 to 2016","1851","1851","17","Tipperary","-","Both sexes","Number","331567"
"E2001","Population at Each Census 1841 to 2016","1851","1851","17","Tipperary","1","Male","Number","160024"
"E2001","Population at Each Census 1841 to 2016","1851","1851","17","Tipperary","2","Female","Number","171543"
"E2001","Population at Each Census 1841 to 2016","1851","1851","18","Waterford","-","Both sexes","Number","164035"
"E2001","Population at Each Census 1841 to 2016","1851","1851","18","Waterford","1","Male","Number","78955"
"E2001","Population at Each Census 1841 to 2016","1851","1851","18","Waterford","2","Female","Number","85080"
"E2001","Population at Each Census 1841 to 2016","1851","1851","19","Galway","-","Both sexes","Number","321684"
"E2001","Population at Each Census 1841 to 2016","1851","1851","19","Galway","1","Male","Number","157135"
"E2001","Population at Each Census 1841 to 2016","1851","1851","19","Galway","2","Female","Number","164549"
"E2001","Population at Each Census 1841 to 2016","1851","1851","20","Leitrim","-","Both sexes","Number","111897"
"E2001","Population at Each Census 1841 to 2016","1851","1851","20","Leitrim","1","Male","Number","56111"
"E2001","Population at Each Census 1841 to 2016","1851","1851","20","Leitrim","2","Female","Number","55786"
"E2001","Population at Each Census 1841 to 2016","1851","1851","21","Mayo","-","Both sexes","Number","274499"
"E2001","Population at Each Census 1841 to 2016","1851","1851","21","Mayo","1","Male","Number","133264"
"E2001","Population at Each Census 1841 to 2016","1851","1851","21","Mayo","2","Female","Number","141235"
"E2001","Population at Each Census 1841 to 2016","1851","1851","22","Roscommon","-","Both sexes","Number","173436"
"E2001","Population at Each Census 1841 to 2016","1851","1851","22","Roscommon","1","Male","Number","86411"
"E2001","Population at Each Census 1841 to 2016","1851","1851","22","Roscommon","2","Female","Number","87025"
"E2001","Population at Each Census 1841 to 2016","1851","1851","23","Sligo","-","Both sexes","Number","128515"
"E2001","Population at Each Census 1841 to 2016","1851","1851","23","Sligo","1","Male","Number","62881"
"E2001","Population at Each Census 1841 to 2016","1851","1851","23","Sligo","2","Female","Number","65634"
"E2001","Population at Each Census 1841 to 2016","1851","1851","24","Cavan","-","Both sexes","Number","174071"
"E2001","Population at Each Census 1841 to 2016","1851","1851","24","Cavan","1","Male","Number","86610"
"E2001","Population at Each Census 1841 to 2016","1851","1851","24","Cavan","2","Female","Number","87461"
"E2001","Population at Each Census 1841 to 2016","1851","1851","25","Donegal","-","Both sexes","Number","255158"
"E2001","Population at Each Census 1841 to 2016","1851","1851","25","Donegal","1","Male","Number","124723"
"E2001","Population at Each Census 1841 to 2016","1851","1851","25","Donegal","2","Female","Number","130435"
"E2001","Population at Each Census 1841 to 2016","1851","1851","26","Monaghan","-","Both sexes","Number","141823"
