Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.5680896,37.013504,2.0249221,2155.9534,3321.0454,3304.9524,2449.8037,2382.9478,1593.7255,1518.121,1344.6501,1226.9371,698.81909,900.37384,395.19974,99.337746,131.35767,60.95121,,,,,,,116.88931,185.99258,325.07217,417.91473,113.10282,34.597874,19.320868,51.693192,76.854752,42.86734,58.584305,102.16398,69.055305,101.41708,90.790634,13.550989,15.019232,34.206783,,,,,,
Albania,,,,,,,,,1.0760401,5.979599,0.0,0.0,0.0,0.0,0.0,41805.164,,0.0,0.0,2.1943574,9.232728,4.8278084,389.39197,771.41931,612.43555,255.77664,212.04356,5.7655349,5.1298494,2.5715203,2.2595222,1.9486847,22.265881,7.2751322,,0.0,3.4002039,9.5661087,3.0821917,0.0,,,,,,,,
Algeria,647.31952,532.58722,910.18036,679.19727,587.30505,796.17291,802.92688,1045.3771,1437.7916,1042.3026,1030.0996,891.34094,171.03395,104.52379,107.11236,165.05661,69.311516,224.78723,324.60175,113.04254,208.48318,283.83615,714.12054,654.90015,108.81461,81.356041,,85.021523,183.21613,474.4476,100.17971,69.154053,27.947184,0.0,6.224721,3.016974,2.8517637,3.0418251,0.47915667,0.6520775,0.0,1.5800562,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,78.125,,31.25,30.76923,74.626869,14.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Angola,786.86115,280.26556,695.10187,1591.4402,2436.4851,2277.4822,3320.9407,2132.396,3137.8625,2274.3657,2207.3562,2151.1924,1426.6093,1191.6563,1824.6482,1675.8265,2388.3823,1464.3512,1293.3374,691.80841,395.92514,44.502068,17.095764,542.31561,166.15067,21.943573,134.96745,532.65027,679.73596,65.703453,1.5371568,13.194906,37.755405,48.290314,12.178868,124.47894,50.922161,59.82906,177.63786,327.83292,434.58395,4.2356153,,,,,,
Antigua and Barbuda,19549.295,41.666668,125.0,54.794521,136.9863,7216.2163,31383.563,3383.5615,0.0,138.88889,14.084507,14.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Argentina,928.17316,886.4848,1483.9672,1359.3512,350.13565,360.66461,572.90259,615.98291,152.85921,241.24936,1061.161,304.0574,208.96393,256.14505,149.42131,124.25613,60.097771,1268.0906,610.63733,149.13078,3.8775392,18.716959,1.6657256,3.4883072,282.24161,8.5407114,0.16191272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07353121,0.41238114,0.072016709,0.047509324,0.0,0.023265554,0.0,,,,,,
Armenia,,,,,,,,,,,,,,,,,248.44545,54.778889,13.360441,100.5055,45.371498,58.128693,639.83588,255.98468,16.725636,13.272903,4.8859935,22.615536,13.183916,1.325381,594.13531,765.17944,46.299427,0.34094784,0.0,0.0,0.69516855,0.0,0.0,3.455425,4.4735031,11.312993,,,,,,
Australia,,,,,,,,,,,,,,,15.005748,10.064317,51.640163,79.898102,81.493767,256.45953,273.72366,66.272057,27.254816,46.188,17.519421,12.457591,5.6645336,7.3174529,1.6431322,4.6199927,3.5091238,0.49409556,,0.52513486,3.0456376,4.7840285,3.164557,8.4519577,8.7196569,6.824759,14.483493,3.1092436,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,7.6026354,,,,0.0,0.0,0.12420817,,0.0,,11.007828,1.8254838,1.0903804,2.7761014,2.4061599,53.729912,5.8542414,6.1831155,8.0378246,4.2263441,,13.552647,35.60318,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,279.71835,832.01959,71.600639,174.22844,843.05048,60.96463,19.220978,85.54126,361.82727,134.21902,25.852518,70.02562,525.91516,236.57457,97.881409,144.98184,25.724218,0.0,0.56676489,,0.0,0.0,0.0,17.474693,0.0,0.0,,,,,,
Bahamas,2335.1353,74.074074,4834.1968,9294.416,1099.0099,8053.3979,2293.8389,209.30232,227.27272,12746.667,156.52174,110.6383,355.64853,172.83951,88.709679,234.12698,281.25,0.0,0.0,0.0,0.0,0.0,0.0,3.4843206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Bahrain,15373.016,3779.0261,16411.973,4168.3169,5139.3188,5192.4199,5169.4443,879.67914,2971.5027,1106.0605,2786.2407,4558.4727,224.01848,48.997772,10.752688,376.29938,118.95161,13.725491,22.944551,3.7313433,0.0,5.319149,127.80656,6.7226892,6.514658,59.654633,9.0225563,7.1633239,10.884354,15.404365,13.253012,4.4994373,3.1315241,6.7567568,1.7937219,2.5316455,0.0,0.0,0.0,,34.431137,0.0,,,,,,
Bangladesh,,42.492916,550.29523,306.60919,241.14027,402.52661,135.96249,124.71184,210.63402,108.32258,130.61543,125.52575,149.90286,138.6053,113.60238,263.77667,16.056276,85.461754,51.860245,47.873695,82.379372,42.078396,40.64484,83.395905,51.578514,43.91227,38.744194,32.914017,25.504938,29.254993,68.949165,180.81168,42.595345,19.872366,17.875624,4.772191,5.1791334,36.54686,12.753087,1.5040839,1.8129921,1.4888245,,,,,,
Barbados,816.32654,1552.8456,1093.1174,6871.4858,140.0,63.745022,107.14286,162.05533,23.622047,23.529411,19.607843,27.34375,7.7821012,7.7519379,3.8610039,7.7220078,196.15384,7.6628351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Belarus,,,,,,,,,,,,,,,,,21.924244,132.11421,227.39726,379.76669,80.605522,149.47742,39.074093,13.402164,51.529953,15.319916,2.1139522,4.5578852,1.4275517,2.1560576,0.20667562,0.1039285,15.561357,0.10485478,0.0,0.0,0.10556318,5.2803888,1.0557432,1.6879418,6.7474961,0.21083702,,,,,,
Belgium,,,,,,,,,,,,,,,4781.2031,8120.6411,,718.79669,949.09705,728.62933,1117.1721,1045.5527,707.38635,378.42331,0.0,,,8.0434151,,4.2230539,5.8206105,2.4651561,1.4124293,5.9824266,9.0917521,3.0386741,3.6566415,52.301826,9.8339949,3.4971306,6.2394152,4.1637135,,,,,,
Belize,61.068703,3225.564,9933.333,138.68613,1553.9568,1808.5106,4215.2778,1256.7567,39.473682,70.512817,25.0,42.424244,729.41174,1287.3563,413.40781,10.928962,132.97873,36.649216,56.701031,0.0,0.0,19.323671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Benin,5134.6094,4053.5989,2842.5457,4515.584,6603.0078,3066.0403,5013.4517,3240.3142,3016.8025,2914.3564,3232.3792,3087.1699,1674.0068,2906.2844,1128.8252,680.70538,,1047.9705,571.83044,742.8468,1322.5411,1772.6041,223.99081,1515.6001,100.15456,386.10443,618.11829,827.89319,217.68335,28.852547,33.80645,26.309196,21.41901,40.331165,106.70346,163.33147,42.613327,45.026955,29.602221,63.67453,76.407112,5.2004538,,,,,,
Bhutan,,,,,1142.8572,2251.8892,4014.6699,2623.8096,4334.1069,3067.8733,2909.6917,1753.7473,1962.7329,1346.0,738.87811,1045.283,322.16016,821.22906,193.60902,965.58319,1321.0831,287.37863,17.34104,319.4707,121.77122,17777.777,729.4939,1281.356,44.554455,0.0,4.6875,16.742769,2.9761906,16.011644,9.9857349,8.4033613,28.846153,13.495276,1.3280213,0.0,0.0,13.977128,,,,,,
